	#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Proteins/Genes
20604	Carya illinoinensis	32201	PRJNA680555	680555	Plants	Land Plants	649.961	36.1665	GCA_016808215.1	chromosome 1:CM028996.1; chromosome 2:CM028997.1; chromosome 3:CM028998.1; chromosome 4:CM028999.1; chromosome 5:CM029000.1; chromosome 6:CM029001.1; chromosome 7:CM029002.1; chromosome 8:CM029003.1; chromosome 9:CM029004.1; chromosome 10:CM029005.1; chromosome 11:CM029006.1; chromosome 12:CM029007.1; chromosome 13:CM029008.1; chromosome 14:CM029009.1; chromosome 15:CM029010.1; chromosome 16:CM029011.1	JAEUGQ01	552	31911.0	68161.0	2021/02/04	2021/02/10	Chromosome	DOE Joint Genome Institute	SAMN16882286	2.135971921907806
20610	Amphibalanus amphitrite	1232801	PRJNA549550	549550	Animals	Other Animals	613.414	49.6	GCA_009805615.1		VIIS01	2240	25581.0	28151.0	2019/12/27	2019/12/27	Scaffold	Seoul National University	SAMN12091412	1.1004651890074664
20616	Stomoxys calcitrans	35570	PRJNA288986	288986	Animals	Insects	971.189	40.3	GCA_001015335.1		LDNW01	12042	16636.0	22450.0	2015/05/29	2015/05/31	Scaffold	NCBI	SAMN03486548	1.34948304880981
20642	Danaus plexippus plexippus	278856	PRJNA607945	607945	Animals	Insects	248.676	32.1016	GCA_009731565.1	chromosome 2:NC_045808.1/CM019184.1; chromosome 3:NC_045809.1/CM019185.1; chromosome 4:NC_045810.1/CM019186.1; chromosome 5:NC_045811.1/CM019187.1; chromosome 6:NC_045812.1/CM019188.1; chromosome 7:NC_045813.1/CM019189.1; chromosome 8:NC_045814.1/CM019190.1; chromosome 9:NC_045815.1/CM019191.1; chromosome 10:NC_045816.1/CM019192.1; chromosome 11:NC_045817.1/CM019193.1; chromosome 12:NC_045818.1/CM019194.1; chromosome 13:NC_045819.1/CM019195.1; chromosome 14:NC_045820.1/CM019196.1; chromosome 15:NC_045821.1/CM019197.1; chromosome 16:NC_045822.1/CM019198.1; chromosome 17:NC_045823.1/CM019199.1; chromosome 18:NC_045824.1/CM019200.1; chromosome 19:NC_045825.1/CM019201.1; chromosome 20:NC_045826.1/CM019202.1; chromosome 21:NC_045827.1/CM019203.1; chromosome 22:NC_045828.1/CM019204.1; chromosome 23:NC_045829.1/CM019205.1; chromosome 24:NC_045830.1/CM019206.1; chromosome 25:NC_045831.1/CM019207.1; chromosome 26:NC_045832.1/CM019208.1; chromosome 27:NC_045833.1/CM019209.1; chromosome 28:NC_045834.1/CM019210.1; chromosome 29:NC_045835.1/CM019211.1; chromosome Z:NC_045836.1/CM019213.1; chromosome 30:NC_045837.1/CM019212.1	DUEA01	4115	14669.0	19762.0	2019/12/05	2019/12/11	Chromosome	NCBI	SAMN01758044	1.347194764469289
20664	Artibeus jamaicensis	9417	PRJNA673233	673233	Animals	Mammals	2207.62	42.0	GCA_014825515.1		VSFN01	56740	31467.0	42587.0	2020/09/30	2021/04/28	Scaffold	NCBI	SAMN12273914	1.3533860870117902
20717	Callosobruchus maculatus	64391	PRJEB30475	578316	Animals	Insects	1007.82	37.7	GCA_900659725.1		CAACVG01	15778	21258.0	31345.0	2019/10/21	2019/10/21	Contig	Evolutionary Biology Centre	SAMEA5215503	1.4745037162480008
20851	Desmodus rotundus	9430	PRJNA436375	436375	Animals	Mammals	2063.54	42.3	GCA_002940915.3		PEHR01	29118	29474.0	44433.0	2018/02/23	2018/03/27	Scaffold	NCBI	SAMN07783852	1.507532062156477
20857	Globicephala melas	9731	PRJNA563901	563901	Animals	Mammals	2333.87	41.3	GCA_006547405.1	mitochondrion MT:NC_019441.1/CM017011.1	SWEB01	6637	29239.0	54546.0	2019/07/01	2019/07/03	Scaffold	NCBI	SAMN11083132	1.865522076678409
20891	Phoxinus phoxinus	58324	PRJNA1030284	1030284	Animals	Fishes	939.832	39.1689	GCA_037504875.1	chromosome 1:CM074866.1; chromosome 2:CM074867.1; chromosome 3:CM074868.1; chromosome 4:CM074869.1; chromosome 5:CM074870.1; chromosome 6:CM074871.1; chromosome 7:CM074872.1; chromosome 8:CM074873.1; chromosome 9:CM074874.1; chromosome 10:CM074875.1; chromosome 11:CM074876.1; chromosome 12:CM074877.1; chromosome 13:CM074878.1; chromosome 14:CM074879.1; chromosome 15:CM074880.1; chromosome 16:CM074881.1; chromosome 17:CM074882.1; chromosome 18:CM074883.1; chromosome 19:CM074884.1; chromosome 20:CM074885.1; chromosome 21:CM074886.1; chromosome 22:CM074887.1; chromosome 23:CM074888.1; chromosome 24:CM074889.1; chromosome 25:CM074890.1	JAYKXG01	101	46553.0	61692.0	2024/03/25	2024/03/25	Chromosome	Leibniz Institute for the analysis of biodiversity change	SAMN37908444	1.3251992352802182
21055	Cuculus canorus	55661	PRJNA263299	263299	Animals	Birds	1153.89	41.7	GCA_000709325.1		JNOX01	14930	15062.0	16796.0	2014/06/12	2016/11/17	Scaffold	NCBI	SAMN02298149	1.1151241534988714
21117	Salix suchowensis	1278906	PRJNA892594	892594	Plants	Land Plants	375.804	34.8152	GCA_029030645.1	chromosome 1:CM055000.1; chromosome 2:CM055001.1; chromosome 3:CM055002.1; chromosome 4:CM055003.1; chromosome 5:CM055004.1; chromosome 6:CM055005.1; chromosome 7:CM055006.1; chromosome 8:CM055007.1; chromosome 9:CM055008.1; chromosome 10:CM055009.1; chromosome 11:CM055010.1; chromosome 12:CM055011.1; chromosome 13:CM055012.1; chromosome 14:CM055013.1; chromosome 15W:CM055014.1; chromosome 16:CM055015.1; chromosome 17:CM055016.1; chromosome 18:CM055017.1; chromosome 19:CM055018.1	JAPFFI01	1756	31608.0	38598.0	2023/03/08	2023/03/08	Chromosome	Cornell University	SAMN31390048	1.2211465451784358
21136	Zootoca vivipara	8524	PRJNA638687	638687	Animals	Reptiles	1464.3	44.1452	GCA_011800845.1	linkage group LG1:NC_048605.1/CM022339.1; linkage group LG2:NC_048606.1/CM022340.1; linkage group LG3:NC_048607.1/CM022341.1; linkage group LG4:NC_048608.1/CM022342.1; linkage group LG5:NC_048609.1/CM022343.1; linkage group LG6:NC_048610.1/CM022344.1; linkage group LG7:NC_048611.1/CM022345.1; linkage group LG8:NC_048612.1/CM022346.1; linkage group LG9:NC_048613.1/CM022347.1; linkage group LG10:NC_048614.1/CM022348.1; linkage group LG11:NC_048615.1/CM022349.1; linkage group LG12:NC_048616.1/CM022350.1; linkage group LG13:NC_048617.1/CM022351.1; linkage group LG14:NC_048618.1/CM022352.1; linkage group LG15:NC_048619.1/CM022353.1; linkage group LG16:NC_048620.1/CM022354.1; linkage group LG17:NC_048621.1/CM022355.1; linkage group LG18:NC_048622.1/CM022356.1; linkage group LG19:NC_048623.1/CM022357.1	JAATIO01	25252	22794.0	44283.0	2020/03/31	2020/04/01	Chromosome	NCBI	SAMN14329711	1.9427480916030535
21163	Amyelois transitella	680683	PRJNA292025	292025	Animals	Insects	406.468	37.6	GCA_001186105.1		LACK01	7301	15208.0	18472.0	2015/07/21	2015/07/22	Scaffold	NCBI	SAMN03009087	1.2146238821672803
21205	Trichinella sp. T6	92179	PRJNA257433	257433	Animals	Roundworms	50.8537	33.5	GCA_001447435.1		JYDK01	5951	15241.0	19518.0	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949481	1.2806246309297291
21321	Patagioenas fasciata monilis	372326	PRJNA308039	308039	Animals	Birds	1089.15	40.9	GCA_002029285.1		LSYS01	9784	19528.0	24805.0	2017/03/15	2017/03/15	Scaffold	University of California, Santa Cruz	SAMN04386172	1.2702273658336747
21484	Yamadazyma tenuis ATCC 10573	590646	PRJNA33673	33673	Fungi	Ascomycetes	10.747	43.0	GCA_000223465.1		AEIM01	25	5547.0	6985.0	2011/08/16	2014/08/04	Scaffold	DOE Joint Genome Institute	SAMN00715317	1.2592392284117542
21662	Cloeon dipterum	197152	PRJEB34721	614205	Animals	Insects	180.287	39.9	GCA_902829235.1		CADEPI01	1395	16357.0	30082.0	2020/04/15	2020/04/15	Scaffold	Centro Nacional de Análisis Genómico	SAMEA6624811	1.839090297731858
21827	Engystomops pustulosus	76066	PRJNA578590	578590	Animals	Amphibians	2555.52	41.9688	GCA_019512145.1	chromosome 1:CM033641.1; chromosome 2:CM033642.1; chromosome 3:CM033643.1; chromosome 4:CM033644.1; chromosome 5:CM033645.1; chromosome 6:CM033646.1; chromosome 7:CM033647.1; chromosome 8:CM033648.1; chromosome 9:CM033649.1; chromosome 10:CM033650.1; chromosome 11:CM033651.1	WNYA01	108304	18426.0	48168.0	2021/08/10	2021/08/10	Chromosome	University of California, Berkeley	SAMN13066191	2.61413220449365
21843	Eleutherodactylus coqui	57060	PRJNA578591	578591	Animals	Amphibians	2789.35	43.7743	GCA_019857665.1	chromosome 1:CM034086.1; chromosome 2:CM034087.1; chromosome 3:CM034088.1; chromosome 4:CM034089.1; chromosome 5:CM034090.1; chromosome 6:CM034091.1; chromosome 7:CM034092.1; chromosome 8:CM034093.1; chromosome 9:CM034094.1; chromosome 10:CM034095.1; chromosome 11:CM034096.1; chromosome 12:CM034097.1; chromosome 13:CM034098.1	WNTK01	105233	13549.0	21221.0	2021/09/02	2021/09/07	Chromosome	University of California, Berkeley	SAMN13066194	1.5662410510000737
21908	Antrodia cinnamomea	279009	PRJNA386064	386064	Fungi	Basidiomycetes	33.4883	50.6153	GCA_022598625.1	mitochondrion MT:CM040234.1	JAHFVP01	36	10328.0	14017.0	2022/03/16	2022/03/18	Contig	Academia Sinica	SAMN19229739	1.3571843532145624
21931	Euphydryas editha	104508	PRJEB51552	844770	Animals	Insects	607.788	34.0	GCA_933666425.1		CAKOGL01	142	23193.0	26018.0	2022/05/31	2022/06/27	Scaffold	Stockholm University	SAMEA13325337	1.1218039925839693
21983	Populus alba x Populus x berolinensis	444605	PRJNA845082	845082	Plants	Land Plants	514.425	36.5149	GCA_029228485.1	chromosome 1:CM055365.1; chromosome 2:CM055366.1; chromosome 3:CM055367.1; chromosome 4:CM055368.1; chromosome 5:CM055369.1; chromosome 6:CM055370.1; chromosome 7:CM055371.1; chromosome 8:CM055372.1; chromosome 9:CM055373.1; chromosome 10:CM055374.1; chromosome 11:CM055375.1; chromosome 12:CM055376.1; chromosome 13:CM055377.1; chromosome 14:CM055378.1; chromosome 15:CM055379.1; chromosome 16:CM055380.1; chromosome 17:CM055381.1; chromosome 18:CM055382.1; chromosome 19:CM055383.1	JAQIZU01	495	83634.0	109056.0	2023/03/16	2023/03/16	Chromosome	Northeast Forestry University	SAMN15063557	1.3039672860319966
22020	Stegostoma tigrinum	3053191	PRJNA703743	703743	Animals	Fishes	2771.87	42.2956	GCA_022316705.1	chromosome 1:CM039227.1; chromosome 2:NC_063385.1/CM039228.1; chromosome 3:NC_063386.1/CM039229.1; chromosome 4:NC_063387.1/CM039230.1; chromosome 5:NC_063388.1/CM039231.1; chromosome 6:NC_063389.1/CM039232.1; chromosome 7:NC_063390.1/CM039233.1; chromosome 8:NC_063391.1/CM039234.1; chromosome 9:NC_063392.1/CM039235.1; chromosome 10:NC_063393.1/CM039236.1; chromosome 11:NC_063394.1/CM039237.1; chromosome 12:NC_063395.1/CM039238.1; chromosome 13:NC_063396.1/CM039239.1; chromosome 14:NC_063397.1/CM039240.1; chromosome 15:NC_063398.1/CM039241.1; chromosome 16:NC_063399.1/CM039242.1; chromosome 17:NC_063400.1/CM039243.1; chromosome 18:NC_063401.1/CM039244.1; chromosome 19:NC_063402.1/CM039245.1; chromosome 20:NC_063403.1/CM039246.1; chromosome 21:NC_063404.1/CM039247.1; chromosome 22:NC_063405.1/CM039248.1; chromosome 23:NC_063406.1/CM039249.1; chromosome 24:NC_063407.1/CM039250.1; chromosome 25:NC_063408.1/CM039251.1; chromosome 26:NC_063409.1/CM039252.1; chromosome 27:NC_063410.1/CM039253.1; chromosome 28:NC_063411.1/CM039254.1; chromosome 29:NC_063412.1/CM039255.1; chromosome 30:NC_063413.1/CM039256.1; chromosome 31:NC_063414.1/CM039257.1; chromosome 32:NC_063415.1/CM039258.1; chromosome 33:NC_063416.1/CM039259.1; chromosome 34:NC_063417.1/CM039260.1; chromosome 35:NC_063418.1/CM039261.1; chromosome 36:NC_063419.1/CM039262.1; chromosome 37:NC_063420.1/CM039263.1; chromosome 38:NC_063421.1/CM039264.1; chromosome 39:NC_063422.1/CM039265.1; chromosome 40:NC_063423.1/CM039266.1; chromosome 41:NC_063424.1/CM039267.1; chromosome 42:NC_063425.1/CM039268.1; chromosome 43:NC_063426.1/CM039269.1; chromosome 44:NC_063427.1/CM039270.1; chromosome 45:NC_063428.1/CM039271.1; chromosome 46:NC_063429.1/CM039272.1; chromosome 47:NC_063430.1/CM039273.1; chromosome 48:NC_063431.1/CM039274.1; chromosome 49:NC_063432.1/CM039275.1; chromosome 50:NC_063433.1/CM039276.1	JAFIRC01	1266	20375.0	41826.0	2022/02/17	2022/02/17	Chromosome	Squalomix	SAMN18022887	2.05280981595092
22024	Effrenium voratum	2562239	PRJEB61191	955579	Protists	Other Protists	1057.84	47.3	GCA_963377065.1		CAUJMZ01	38022	32615.0	41968.0	2023/08/22	2023/08/23	Scaffold	Australian Centre for Ecogenomics, School of Chemistry and Molecular Biosciences, University of Queensland	SAMEA112879411	1.2867698911543768
22053	Ascaphus truei	8439	PRJNA550271	550271	Animals	Amphibians	3101.75	43.4957	GCA_036426205.1	chromosome 1:CM071567.1; chromosome 2:CM071568.1; chromosome 3:CM071569.1; chromosome 4:CM071570.1; chromosome 5:CM071571.1; chromosome 6:CM071572.1; chromosome 7:CM071573.1; chromosome 8:CM071574.1; chromosome 9:CM071575.1; chromosome 10:CM071576.1; chromosome 11:CM071577.1; chromosome 12:CM071578.1; chromosome 13:CM071579.1; chromosome 14:CM071580.1; chromosome 15:CM071581.1; chromosome 16:CM071582.1; chromosome 17:CM071583.1; chromosome 18:CM071584.1; chromosome 19:CM071585.1; chromosome 20:CM071586.1; chromosome 21:CM071587.1; chromosome 22:CM071588.1	WSYH01	107521	17155.0	49470.0	2024/02/07	2024/02/07	Chromosome	University of California, Berkeley	SAMN12123227	2.883707373943457
22128	Antrodia cinnamomea	279009	PRJNA386064	386064	Fungi	Basidiomycetes	33.2662	50.6214	GCA_022598595.1	mitochondrion MT:CM040237.1	JAHFZK01	59	10384.0	14049.0	2022/03/16	2022/03/18	Contig	Academia Sinica	SAMN19229742	1.3529468412942989
22304	Mirounga angustirostris	9716	PRJNA795490	795490	Animals	Mammals	2366.17	41.5733	GCA_021288785.3	chromosome 1:NC_072356.1/CM049323.1; chromosome 2:NC_072357.1/CM049324.1; chromosome 3:NC_072358.1/CM049325.1; chromosome 4:NC_072359.1/CM049326.1; chromosome 5:NC_072360.1/CM049327.1; chromosome 6:NC_072361.1/CM049328.1; chromosome 7:NC_072362.1/CM049329.1; chromosome 8:NC_072363.1/CM049330.1; chromosome 9:NC_072364.1/CM049331.1; chromosome 10:NC_072365.1/CM049332.1; chromosome 11:NC_072366.1/CM049333.1; chromosome 12:NC_072367.1/CM049334.1; chromosome 13:NC_072368.1/CM049335.1; chromosome 14:NC_072369.1/CM049336.1; chromosome 15:NC_072370.1/CM049337.1; chromosome 16:NC_072371.1/CM049338.1; chromosome 17:NC_072372.1/CM049339.1	JAJSZF01	142455	30351.0	45604.0	2021/12/26	2022/12/21	Chromosome	NCBI	SAMN13072016	1.502553457876182
22402	Citrus unshiu	55188	PRJDB5882	417009	Plants	Land Plants	359.652	31.3	GCA_002897195.1		BDQV01	20876	29039.0	37970.0	2017/12/06	2018/07/20	Scaffold	Genomics, Citrus Research Division, Institute of Fruit Tree and Tea Science, NARO	SAMD00083908	1.3075519129446607
22590	Aquarana catesbeiana	8400	PRJNA285814	285814	Animals	Amphibians	6250.35	43.6998	GCA_002284835.2	mitochondrion MT:KX686108.1	LIAG02	1544635	22238.0	28771.0	2017/01/18	2017/11/13	Scaffold	BC Cancer Agency	SAMN03760860	1.2937764187426928
22596	Acipenser ruthenus	7906	PRJNA635364	635364	Animals	Fishes	1825.19	39.7508	GCA_010645085.2	chromosome 1:CM021251.1; chromosome 2:CM021252.1; chromosome 3:CM021253.1; chromosome 4:CM021254.1; chromosome 5:CM021255.1; chromosome 6:CM021256.1; chromosome 7:CM021257.1; chromosome 8:CM021258.1; chromosome 9:CM021259.1; chromosome 10:CM021260.1; chromosome 11:CM021261.1; chromosome 12:CM021262.1; chromosome 13:CM021263.1; chromosome 14:CM021264.1; chromosome 15:CM021265.1; chromosome 16:CM021266.1; chromosome 17:CM021267.1; chromosome 18:CM021268.1; chromosome 19:CM021269.1; chromosome 20:CM021270.1; chromosome 21:CM021271.1; chromosome 22:CM021272.1; chromosome 23:NC_048345.1/CM021273.1; chromosome 24:NC_048346.1/CM021274.1; chromosome 25:NC_048347.1/CM021275.1; chromosome 26:NC_048348.1/CM021276.1; chromosome 27:NC_048349.1/CM021277.1; chromosome 28:NC_048350.1/CM021278.1; chromosome 29:NC_048351.1/CM021279.1; chromosome 30:NC_048352.1/CM021280.1; chromosome 31:NC_048353.1/CM021281.1; chromosome 32:NC_048354.1/CM021282.1; chromosome 33:NC_048355.1/CM021283.1; chromosome 34:NC_048356.1/CM021284.1; chromosome 35:NC_048357.1/CM021285.1; chromosome 36:NC_048358.1/CM021286.1; chromosome 37:NC_048359.1/CM021287.1; chromosome 38:NC_048360.1/CM021288.1; chromosome 39:NC_048361.1/CM021289.1; chromosome 40:NC_048362.1/CM021290.1; chromosome 41:NC_048363.1/CM021291.1; chromosome 42:NC_048364.1/CM021292.1; chromosome 43:NC_048365.1/CM021293.1; chromosome 44:NC_048366.1/CM021294.1; chromosome 45:NC_048367.1/CM021295.1; chromosome 46:NC_048368.1/CM021296.1; chromosome 47:NC_048369.1/CM021297.1; chromosome 48:NC_048370.1/CM021298.1; chromosome 49:NC_048371.1/CM021299.1; chromosome 50:NC_048372.1/CM021300.1; chromosome 51:NC_048373.1/CM021301.1; chromosome 52:NC_048374.1/CM021302.1; chromosome 53:NC_048375.1/CM021303.1; chromosome 54:NC_048376.1/CM021304.1; chromosome 55:NC_048377.1/CM021305.1; chromosome 56:NC_048378.1/CM021306.1; chromosome 57:NC_048379.1/CM021307.1; chromosome 58:NC_048380.1/CM021308.1; chromosome 59:NC_048381.1/CM021309.1; chromosome 60:NC_048382.1/CM021310.1	VTUV01	3368	21646.0	25024.0	2020/02/14	2020/02/19	Chromosome	NCBI	SAMN12612932	1.1560565462441097
22603	Drosophila suzukii	28584	PRJNA670404	670404	Animals	Insects	268.012	40.6665	GCA_013340165.1	chromosome 4:NC_050699.1/CM023447.1	WWNF01	546	17539.0	25540.0	2020/06/12	2020/06/15	Chromosome	NCBI	SAMN13521054	1.4561833627914933
22664	Gordionus sp. m RMFG-2023	3053472	PRJEB63266	985539	Protists	Other Protists	287.64	26.9403	GCA_954871325.2	chromosome 1:OX940783.2; chromosome 2:OX940784.2; chromosome 3:OX940785.2; chromosome 4:OX940786.2; chromosome 5:OX940787.2	CATOZP02	395	10320.0	15442.0	2023/06/21	2024/03/06	Chromosome	institute of evolutionary biology	SAMEA113612105	1.4963178294573642
22702	Aotus nancymaae	37293	PRJNA282745	282745	Animals	Mammals	2861.68	41.1	GCA_000952055.2		JYKP02	28922	31334.0	47568.0	2015/03/12	2017/06/12	Scaffold	NCBI	SAMN03121886	1.5180953596731985
22730	Trifolium repens	3899	PRJNA953427	953427	Plants	Land Plants	993.463	33.7869	GCA_032173615.1	chromosome 1:CM063267.1; chromosome 2:CM063268.1; chromosome 3:CM063269.1; chromosome 4:CM063270.1; chromosome 5:CM063271.1; chromosome 6:CM063272.1; chromosome 7:CM063273.1; chromosome 8:CM063274.1; chromosome 9:CM063275.1; chromosome 10:CM063276.1; chromosome 11:CM063277.1; chromosome 12:CM063278.1; chromosome 13:CM063279.1; chromosome 14:CM063280.1; chromosome 15:CM063281.1; chromosome 16:CM063282.1	JAVQLX01	885	195567.0	216607.0	2023/09/28	2023/09/29	Complete Genome	Washington University in St Louis	SAMN34116011	1.107584612945947
22755	Marmota monax	9995	PRJNA587092	587092	Animals	Mammals	2736.98	39.9	GCA_014533835.1	mitochondrion MT:CM025523.1	WJEC01	8860	20558.0	28115.0	2020/09/14	2020/09/18	Contig	Johns Hopkins University	SAMN13176033	1.3675941239420177
22765	Hydra vulgaris	6087	PRJNA814716	814716	Animals	Other Animals	819.403	27.0488	GCA_022113875.1	chromosome 1:NC_061156.1/CM039212.1; chromosome 2:NC_061157.1/CM039213.1; chromosome 3:NC_061158.1/CM039214.1; chromosome 4:NC_061159.1/CM039215.1; chromosome 5:NC_061160.1/CM039216.1; chromosome 6:NC_061161.1/CM039217.1; chromosome 7:NC_061162.1/CM039218.1; chromosome 8:NC_061163.1/CM039219.1; chromosome 9:NC_061164.1/CM039220.1; chromosome 10:NC_061165.1/CM039221.1; chromosome 11:NC_061166.1/CM039222.1; chromosome 12:NC_061167.1/CM039223.1; chromosome 13:NC_061168.1/CM039224.1; chromosome 14:NC_061169.1/CM039225.1; chromosome 15:NC_061170.1/CM039226.1; mitochondrion 1:NC_011220.1/CM039212.1; mitochondrion 2:NC_011221.1/CM039213.1	JAGKSS01	56	28611.0	32703.0	2022/02/09	2022/02/14	Chromosome	NCBI	SAMN18321928	1.1430219146482121
22777	Branchiostoma lanceolatum	7740	PRJEB49647	797632	Animals	Other Animals	474.792	41.5294	GCA_927797965.1	chromosome 1:OV696686.1; chromosome 2:OV696687.1; chromosome 3:OV696688.1; chromosome 4:OV696689.1; chromosome 5:OV696690.1; chromosome 6:OV696691.1; chromosome 7:OV696692.1; chromosome 8:OV696693.1; chromosome 9:OV696694.1; chromosome 10:OV696695.1; chromosome 11:OV696696.1; chromosome 12:OV696697.1; chromosome 13:OV696698.1; chromosome 14:OV696699.1; chromosome 15:OV696700.1; chromosome 16:OV696701.1; chromosome 17:OV696702.1; chromosome 18:OV696703.1; chromosome 19:OV696704.1	CAKMNS01	482	26466.0	39310.0	2022/01/21	2022/01/21	Chromosome	lausanne university	SAMEA11998880	1.4853018967732186
22805	Trichinella pseudospiralis	6337	PRJNA257433	257433	Animals	Roundworms	49.1527	32.8	GCA_001447645.1		JYDV01	6594	12455.0	16961.0	2015/11/24	2016/03/08	Scaffold	University of Melbourne	SAMN02949477	1.3617824167001205
22845	Carya illinoinensis	32201	PRJNA680557	680557	Plants	Land Plants	668.996	36.1056	GCA_018688675.1	chromosome 1:CM031825.1; chromosome 2:CM031826.1; chromosome 3:CM031827.1; chromosome 4:CM031828.1; chromosome 5:CM031829.1; chromosome 6:CM031830.1; chromosome 7:CM031831.1; chromosome 8:CM031832.1; chromosome 9:CM031833.1; chromosome 10:CM031834.1; chromosome 11:CM031835.1; chromosome 12:CM031836.1; chromosome 13:CM031837.1; chromosome 14:CM031838.1; chromosome 15:CM031839.1; chromosome 16:CM031840.1	JAEUGR01	499	33280.0	65944.0	2021/06/03	2021/06/08	Chromosome	DOE Joint Genome Institute	SAMN16882288	1.9814903846153846
22866	Gossypium arboreum	29729	PRJNA335838	335838	Plants	Land Plants	1694.6	36.1992	GCA_000612285.2	chromosome 1:NC_030664.1/CM002679.1; chromosome 2:NC_030665.1/CM002680.1; chromosome 3:NC_030666.1/CM002681.1; chromosome 4:NC_030667.1/CM002682.1; chromosome 5:NC_030668.1/CM002683.1; chromosome 6:NC_030669.1/CM002684.1; chromosome 7:NC_030670.1/CM002685.1; chromosome 8:NC_030671.1/CM002686.1; chromosome 9:NC_030672.1/CM002687.1; chromosome 10:NC_030673.1/CM002688.1; chromosome 11:NC_030674.1/CM002689.1; chromosome 12:NC_030675.1/CM002690.1; chromosome 13:NC_030676.1/CM002691.1	AYOE01	75419	40080.0	47485.0	2014/03/31	2015/09/28	Chromosome	NCBI	SAMN02981570	1.184755489021956
